ED Number,ED Name,Vote Anywhere Ballots,Electors
01,CALGARY-ACADIA,4537,33430
02,CALGARY-BEDDINGTON,5015,33827
03,CALGARY-BOW,6363,35626
04,CALGARY-BUFFALO,6298,35068
05,CALGARY-CROSS,1170,29794
06,CALGARY-CURRIE,3212,33109
07,CALGARY-EAST,1187,30706
08,CALGARY-EDGEMONT,2031,35458
09,CALGARY-ELBOW,4096,32904
10,CALGARY-FALCONRIDGE,1714,27715
11,CALGARY-FISH CREEK,5391,35421
12,CALGARY-FOOTHILLS,7397,30571
13,CALGARY-GLENMORE,2374,35696
14,CALGARY-HAYS,4410,32509
15,CALGARY-KLEIN,2479,33096
16,CALGARY-LOUGHEED,2113,25742
17,CALGARY-MCCALL,951,20898
18,CALGARY-MOUNTAIN VIEW,5300,35931
19,CALGARY-NORTH,4925,23114
20,CALGARY-NORTH EAST,2419,25194
21,CALGARY-NORTH WEST,4429,32701
22,CALGARY-PEIGAN,3566,32797
23,CALGARY-SHAW,5316,30099
24,CALGARY-SOUTH EAST,4592,27124
25,CALGARY-VARSITY,4467,31105
26,CALGARY-WEST,2302,31488
27,EDMONTON-BEVERLY-CLAREVIEW,1797,30260
28,EDMONTON-CASTLE DOWNS,2508,30063
29,EDMONTON-CITY CENTRE,5257,32370
30,EDMONTON-DECORE,1616,32213
31,EDMONTON-ELLERSLIE,1736,26346
32,EDMONTON-GLENORA,1626,30886
33,EDMONTON-GOLD BAR,1185,34236
34,EDMONTON-HIGHLANDS-NORWOOD,2171,29782
35,EDMONTON-MANNING,1999,30980
36,EDMONTON-MCCLUNG,4248,28063
37,EDMONTON-MEADOWS,1699,29915
38,EDMONTON-MILL WOODS,2898,31431
39,EDMONTON-NORTH WEST,2797,28907
40,EDMONTON-RIVERVIEW,2398,29971
41,EDMONTON-RUTHERFORD,3360,31067
42,EDMONTON-SOUTH,3228,29052
43,EDMONTON-SOUTH WEST,5679,29623
44,EDMONTON-STRATHCONA,4134,29943
45,EDMONTON-WEST HENDAY,3969,28293
46,EDMONTON-WHITEMUD,1583,31820
47,AIRDRIE-COCHRANE,1977,35092
48,AIRDRIE-EAST,4219,33190
49,ATHABASCA-BARRHEAD-WESTLOCK,1283,32066
50,BANFF-KANANASKIS,2607,28615
51,BONNYVILLE-COLD LAKE-ST. PAUL,492,30192
52,BROOKS-MEDICINE HAT,1221,32591
53,CAMROSE,1804,30437
54,CARDSTON-SIKSIKA,869,23308
55,CENTRAL PEACE-NOTLEY,489,18057
56,CHESTERMERE-STRATHMORE,2316,32111
57,CYPRESS-MEDICINE HAT,926,35157
58,DRAYTON VALLEY-DEVON,2241,32291
59,DRUMHELLER-STETTLER,563,28065
60,FORT MCMURRAY-LAC LA BICHE,940,22165
61,FORT MCMURRAY-WOOD BUFFALO,1822,18290
62,FORT SASKATCHEWAN-VEGREVILLE,1238,35488
63,GRANDE PRAIRIE,2089,28997
64,GRANDE PRAIRIE-WAPITI,2329,29692
65,HIGHWOOD,2076,33014
66,INNISFAIL-SYLVAN LAKE,2079,32360
67,LAC STE. ANNE-PARKLAND,3274,29992
68,LACOMBE-PONOKA,1002,29969
69,LEDUC-BEAUMONT,772,32825
70,LESSER SLAVE LAKE,209,14343
71,LETHBRIDGE-EAST,2040,33080
72,LETHBRIDGE-WEST,1751,33254
73,LIVINGSTONE-MACLEOD,781,34074
74,MASKWACIS-WETASKIWIN,2777,26883
75,MORINVILLE-ST. ALBERT,3405,34332
76,OLDS-DIDSBURY-THREE HILLS,1645,34129
77,PEACE RIVER,350,21478
78,RED DEER-NORTH,819,30279
79,RED DEER-SOUTH,3688,35844
80,RIMBEY-ROCKY MOUNTAIN HOUSE-SUNDRE,1969,30711
81,SHERWOOD PARK,2435,33768
82,SPRUCE GROVE-STONY PLAIN,927,33909
83,ST. ALBERT,1182,35850
84,STRATHCONA-SHERWOOD PARK,3967,33859
85,TABER-WARNER,1091,26850
86,VERMILION-LLOYDMINSTER-WAINWRIGHT,943,28665
87,WEST YELLOWHEAD,786,32503
